Date,Description,Amount,Currency
2026-02-01,PLATA RENT PROPRIETAR LUNA 02,-2500.00,RON
2026-02-02,CUMPARARE POS KAUFLAND BUCURESTI 263 card ****4412 autorizare 832052,-356.96,RON
2026-02-03,CUMPARARE POS SPOTIFY P948749 STOCKHOLM SE card ****4412,-29.99,RON
2026-02-04,CUMPARARE POS LIDL 6574 BUCURESTI card ****4412,-65.52,RON
2026-02-05,BOLT.EU/R/263032 TALLINN EE,-23.81,RON
2026-02-09,CUMPARARE POS KAUFLAND BUCURESTI 881 card ****4412 autorizare 452944,-146.98,RON
2026-02-10,INCASARE SALARIU ACME SRL,8500.00,RON
2026-02-11,TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000,-1000.00,RON
2026-02-11,CUMPARARE POS LIDL 2519 BUCURESTI card ****4412,-82.24,RON
2026-02-12,BOLT.EU/R/201414 TALLINN EE,-29.70,RON
2026-02-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-02-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-02-15,NETFLIX.COM 1109031 AMSTERDAM NL card ****4412,-49.99,RON
2026-02-16,CUMPARARE POS KAUFLAND BUCURESTI 967 card ****4412 autorizare 460663,-253.35,RON
2026-02-18,CUMPARARE POS LIDL 1711 BUCURESTI card ****4412,-139.55,RON
2026-02-19,BOLT.EU/R/581741 TALLINN EE,-36.96,RON
2026-02-20,ENEL ENERGIE FACTURA 914763202,-312.02,RON
2026-02-22,ORANGE ROMANIA ABONAMENT,-45.00,RON
2026-02-23,CUMPARARE POS KAUFLAND BUCURESTI 227 card ****4412 autorizare 496922,-131.64,RON
2026-02-25,CUMPARARE POS LIDL 5803 BUCURESTI card ****4412,-155.88,RON
2026-02-26,BOLT.EU/R/759176 TALLINN EE,-40.33,RON
2026-03-01,PLATA RENT PROPRIETAR LUNA 03,-2500.00,RON
2026-03-02,CUMPARARE POS KAUFLAND BUCURESTI 146 card ****4412 autorizare 793384,-229.35,RON
2026-03-03,CUMPARARE POS SPOTIFY P479201 STOCKHOLM SE card ****4412,-29.99,RON
2026-03-04,CUMPARARE POS LIDL 5741 BUCURESTI card ****4412,-33.07,RON
2026-03-05,BOLT.EU/R/996865 TALLINN EE,-24.53,RON
2026-03-09,CUMPARARE POS KAUFLAND BUCURESTI 987 card ****4412 autorizare 205907,-329.11,RON
2026-03-10,INCASARE SALARIU ACME SRL,8500.00,RON
2026-03-11,TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000,-1000.00,RON
2026-03-11,CUMPARARE POS LIDL 5554 BUCURESTI card ****4412,-94.28,RON
2026-03-12,BOLT.EU/R/766563 TALLINN EE,-29.94,RON
2026-03-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-03-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-03-15,NETFLIX.COM 4226067 AMSTERDAM NL card ****4412,-49.99,RON
2026-03-16,CUMPARARE POS KAUFLAND BUCURESTI 266 card ****4412 autorizare 488162,-312.83,RON
2026-03-18,CUMPARARE POS LIDL 4432 BUCURESTI card ****4412,-129.80,RON
2026-03-19,BOLT.EU/R/379946 TALLINN EE,-43.74,RON
2026-03-20,ENEL ENERGIE FACTURA 856528252,-191.39,RON
2026-03-22,ORANGE ROMANIA ABONAMENT,-45.00,RON
2026-03-23,CUMPARARE POS KAUFLAND BUCURESTI 799 card ****4412 autorizare 779514,-126.79,RON
2026-03-25,CUMPARARE POS LIDL 3803 BUCURESTI card ****4412,-107.51,RON
2026-03-26,BOLT.EU/R/864544 TALLINN EE,-25.02,RON
2026-04-01,PLATA RENT PROPRIETAR LUNA 04,-2500.00,RON
2026-04-02,CUMPARARE POS KAUFLAND BUCURESTI 755 card ****4412 autorizare 821590,-223.92,RON
2026-04-03,CUMPARARE POS SPOTIFY P271339 STOCKHOLM SE card ****4412,-29.99,RON
2026-04-04,CUMPARARE POS LIDL 6313 BUCURESTI card ****4412,-158.09,RON
2026-04-05,BOLT.EU/R/905635 TALLINN EE,-17.29,RON
2026-04-09,CUMPARARE POS KAUFLAND BUCURESTI 334 card ****4412 autorizare 961722,-101.03,RON
2026-04-10,INCASARE SALARIU ACME SRL,8500.00,RON
2026-04-11,TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000,-1000.00,RON
2026-04-11,CUMPARARE POS LIDL 6168 BUCURESTI card ****4412,-85.72,RON
2026-04-12,BOLT.EU/R/380746 TALLINN EE,-17.71,RON
2026-04-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-04-12,CUMPARARE POS STARBUCKS AFI COTROCENI card ****4412,-18.50,RON
2026-04-15,NETFLIX.COM 8755439 AMSTERDAM NL card ****4412,-49.99,RON
2026-04-16,CUMPARARE POS KAUFLAND BUCURESTI 316 card ****4412 autorizare 694731,-286.22,RON
2026-04-18,CUMPARARE POS LIDL 4483 BUCURESTI card ****4412,-127.38,RON
2026-04-19,BOLT.EU/R/623481 TALLINN EE,-31.20,RON
2026-04-20,ENEL ENERGIE FACTURA 507437181,-224.22,RON
2026-04-22,ORANGE ROMANIA ABONAMENT,-45.00,RON
2026-04-23,CUMPARARE POS KAUFLAND BUCURESTI 758 card ****4412 autorizare 581141,-173.63,RON
2026-04-25,CUMPARARE POS LIDL 5339 BUCURESTI card ****4412,-42.87,RON
2026-04-26,BOLT.EU/R/358607 TALLINN EE,-37.99,RON
